type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
red,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5
red,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5
red,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
red,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
red,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
red,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
red,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
red,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
red,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
red,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
red,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
red,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
red,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
red,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
red,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
red,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
red,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
red,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
red,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6
red,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
red,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
red,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
red,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
red,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
red,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
red,9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6
red,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
red,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
red,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
red,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
red,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5
red,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6
red,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
red,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
red,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
red,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
red,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
red,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
red,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
red,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
red,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
red,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
red,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
red,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
red,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
red,9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
red,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
red,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
red,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6
red,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
red,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
red,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5
red,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
red,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
red,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
